,0
0,0.41956523060798645
1,0.6804347634315491
2,0.7260869741439819
3,0.789130449295044
4,0.832608699798584
5,0.843478262424469
6,0.8782608509063721
7,0.8913043737411499
8,0.9021739363670349
9,0.895652174949646
10,0.917391300201416
11,0.945652186870575
12,0.917391300201416
13,0.949999988079071
14,0.9217391014099121
15,0.926086962223053
16,0.947826087474823
17,0.969565212726593
18,0.969565212726593
19,0.969565212726593
20,0.9826086759567261
21,0.9717391133308411
22,0.9826086759567261
23,0.97826087474823
24,0.9847826361656189
25,0.9826086759567261
26,0.980434775352478
27,0.989130437374115
28,0.9739130139350891
29,0.9847826361656189
30,0.9956521987915039
31,0.997826099395752
32,0.9847826361656189
33,0.991304337978363
34,0.9956521987915039
35,0.980434775352478
36,0.989130437374115
37,1.0
38,0.9934782385826111
39,0.991304337978363
40,0.9934782385826111
41,0.9934782385826111
42,0.97826087474823
43,0.980434775352478
44,0.9869565367698669
45,0.989130437374115
46,0.989130437374115
47,0.9934782385826111
48,0.991304337978363
49,0.997826099395752
50,0.9956521987915039
51,0.9934782385826111
52,1.0
53,0.9934782385826111
54,1.0
55,0.9956521987915039
56,0.9956521987915039
57,0.997826099395752
58,1.0
59,0.991304337978363
60,0.991304337978363
61,0.9739130139350891
62,0.9826086759567261
63,0.9956521987915039
64,0.9934782385826111
65,0.997826099395752
66,0.997826099395752
67,0.997826099395752
68,0.9956521987915039
69,0.997826099395752
70,0.997826099395752
71,0.9956521987915039
72,1.0
73,1.0
74,0.997826099395752
75,0.9956521987915039
76,0.9956521987915039
77,0.9956521987915039
78,0.9956521987915039
79,0.997826099395752
80,0.9934782385826111
81,0.9934782385826111
82,0.997826099395752
83,0.9956521987915039
84,0.991304337978363
85,0.9956521987915039
86,0.997826099395752
87,0.997826099395752
88,0.9956521987915039
89,0.997826099395752
90,0.9934782385826111
91,0.9956521987915039
92,1.0
93,1.0
94,0.9956521987915039
95,0.997826099395752
96,0.9956521987915039
97,0.997826099395752
98,0.997826099395752
99,0.997826099395752
